raceid,year,round,circuitid,stint,compound,stint start lap,stint end lap,stint length,airtemp,humidity,pressure,rainfall,tracktemp,winddirection,windspeed,driverid,avg_lap_time
989,2018,1,1,1.0,ULTRASOFT,2.0,26.0,25,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,4,93123.60344827586
989,2018,1,1,2.0,SOFT,27.0,58.0,32,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,4,93123.60344827586
989,2018,1,1,1.0,ULTRASOFT,2.0,25.0,24,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,822,93234.86206896552
989,2018,1,1,2.0,SUPERSOFT,26.0,58.0,33,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,822,93234.86206896552
989,2018,1,1,1.0,SUPERSOFT,2.0,6.0,5,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,828,95019.2
989,2018,1,1,1.0,ULTRASOFT,2.0,14.0,13,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,842,93188.53846153847
989,2018,1,1,1.0,ULTRASOFT,2.0,24.0,23,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,154,91369.91666666667
989,2018,1,1,1.0,ULTRASOFT,3.0,19.0,17,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,1,92729.63793103448
989,2018,1,1,2.0,SOFT,20.0,58.0,39,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,1,92729.63793103448
989,2018,1,1,2.0,SOFT,2.0,24.0,23,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,843,94662.43859649122
989,2018,1,1,3.0,ULTRASOFT,25.0,57.0,33,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,843,94662.43859649122
989,2018,1,1,1.0,ULTRASOFT,2.0,24.0,23,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,807,93206.10344827586
989,2018,1,1,2.0,SOFT,25.0,58.0,34,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,807,93206.10344827586
989,2018,1,1,1.0,SUPERSOFT,2.0,20.0,19,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,844,93949.0
989,2018,1,1,2.0,SOFT,21.0,27.0,7,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,844,93949.0
989,2018,1,1,3.0,ULTRASOFT,28.0,58.0,31,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,844,93949.0
989,2018,1,1,1.0,ULTRASOFT,2.0,22.0,21,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,825,91430.31818181818
989,2018,1,1,1.0,ULTRASOFT,2.0,23.0,22,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,839,93682.08620689655
989,2018,1,1,2.0,SOFT,24.0,58.0,35,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,839,93682.08620689655
989,2018,1,1,1.0,ULTRASOFT,2.0,24.0,23,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,815,93450.0
989,2018,1,1,2.0,SOFT,25.0,58.0,34,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,815,93450.0
989,2018,1,1,1.0,ULTRASOFT,2.0,18.0,17,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,8,92751.58620689655
989,2018,1,1,2.0,SOFT,19.0,58.0,40,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,8,92751.58620689655
989,2018,1,1,1.0,SUPERSOFT,2.0,26.0,25,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,817,92764.68965517242
989,2018,1,1,2.0,SOFT,27.0,58.0,32,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,817,92764.68965517242
989,2018,1,1,1.0,ULTRASOFT,2.0,22.0,21,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,832,93431.12068965517
989,2018,1,1,2.0,SOFT,23.0,58.0,36,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,832,93431.12068965517
989,2018,1,1,1.0,SUPERSOFT,2.0,5.0,4,24.077477477477476,30.915315315315315,997.0036036036036,0.04504504504504504,36.32432432432432,294.1261261261261,3.691891891891892,845,96536.75
